A,B,result
Finite difference,Web browser,0
Image analysis,Logic programming,0
Abstract data type,Integer,1
Concurrency control,Computer programming,1
Analysis of algorithms,Quantum computer,0
Programmer,Amortized analysis,0
Information theory,Congestion control,0
Object-oriented programming,Structured programming,1
Recursion,Control flow,1
Control flow,Programming language,1
Computer animation,Motion planning,0
Machine translation,Suffix tree,0
Autonomous robot,Robotics,1
String (computer science),Data (computing),1
Image processing,Knowledge representation and reasoning,0
Complexity,Graph (mathematics),0
Virtual reality,Semantics of programming languages,0
GPU,Parallel computing,1
Linear programming,Mathematical optimization,1
OSI model,User interface,0
Virtual reality,Hash table,0
Programmer,Time complexity,0
Graphics,Suffix tree,0
Compiler optimization,Assembly language,1
Telecommunications network,Higher-order function,0
Public-key cryptography,Discrete mathematics,1
Scripting language,Data (computing),0
Random graph,Graph theory,1
Web search engine,Application programming interface,0
Least squares,Dynamic memory allocation,0
Computer,Dynamic memory allocation,0
Concurrency (computer science),File system,0
Combinatorics,Complexity class,0
Type system,Computer simulation,0
Linear programming,Multiplication,0
Web search engine,Database design,0
Mathematical optimization,Linear algebra,1
Lazy evaluation,Programming language,1
Rendering (computer graphics),Mathematics,1
Lisp (programming language),Programming language,1
Virtual reality,3D modeling,0
Mathematical optimization,Mathematical model,1
Web browser,Randomization,0
Game theory,Mathematical model,1
Computational learning theory,Debugging,0
Hidden Markov model,Machine learning,1
Congestion control,Conditional probability,0
Concurrency (computer science),Computation,1
Calculus of variations,Reason,0
Artificial intelligence,Reason,1
Imperative programming,Packet switching,0
Communication,Spanning tree,0
Artificial intelligence,Structured programming,0
Computational complexity theory,Computer simulation,0
Turing machine,Theory of computation,1
Sequence alignment,Probability,1
Database design,Database system,1
Graph coloring,Server (computing),0
Computer architecture,Differential equation,0
Quantum mechanics,Estimation theory,0
Data type,Stochastic process,0
Transaction processing,Computer science,1
Boundary value problem,Randomness,0
Estimation theory,Statistical inference,1
Algorithm,Iterative method,1
Differential equation,Prolog,0
Sufficient statistic,Polynomial,0
Feature extraction,Algorithm,1
Robot,Wavelet,0
Kalman filter,Statistical inference,0
Distributed computing,Mutual exclusion,1
Stochastic process,Randomness,1
Internet,Telecommunications network,1
Programmer,OSI model,0
Iterative method,Computational science,0
Personal computer,Computer,1
Cryptanalysis,Information security,1
Arithmetic,Cluster analysis,0
Machine learning,Probability,1
Polynomial,String searching algorithm,0
Logic programming,Computer science,1
Cryptography,Multi-core processor,0
Fast Fourier transform,Algorithm,1
Kernel (computing),Operating system,1
Python (programming language),Linear algebra,0
Random graph,Probability theory,1
Computational chemistry,Bayesian,0
Analysis of algorithms,Mathematics,1
Network security,Computer network,1
Recommender system,Machine learning,1
Discrete mathematics,Mathematical proof,1
User interface,Regular language,0
Abstraction (computer science),Computability,0
Number theory,Natural language,0
Compiler,Sentiment analysis,0
Malware,Information security,1
Relational database,Computer science,1
Security,Database design,0
Inheritance (object-oriented programming),Programming language,1
Context-free grammar,String (computer science),1
Variable (computer science),Programming language,1
Algebra,Scripting language,0
Analysis of algorithms,Scientific modelling,0
Abstraction (computer science),Lazy evaluation,0
Compiler optimization,Information theory,0
Distributed algorithms,Formal grammar,0
Communications protocol,Communication,1
Embedded system,Wavelet,0
Shortest path problem,NP-complete,1
Expected value,Computer architecture,0
Shading,Mutual exclusion,0
Data structure,Data,1
Undecidable problem,Stochastic,0
Fast Fourier transform,Interactivity,0
Database,Integer,0
Wavelet,High-level programming language,0
Theoretical computer science,Mathematics,1
Gradient descent,MapReduce,0
Computer science,Number theory,1
Web search engine,List of undecidable problems,0
Graph theory,Graph (mathematics),1
Very long instruction word,Shared memory,0
Arithmetic logic unit,Digital electronics,1
List of undecidable problems,Computational problem,1
Introduction to Algorithms,hypothesis testing,0
Algorithm,Logic,1
Communications protocol,Synchronization,1
Random walk,Structured programming,0
Complexity,Congestion control,0
Graphical user interface,Computer,1
Debugging,Control flow,1
Shortest path problem,Arithmetic,0
3D modeling,Motion planning,0
String searching algorithm,Recursion (computer science),0
Discrete mathematics,Algebra,1
Analysis of algorithms,Computation,1
Image analysis,Recurrence relation,0
Mathematical optimization,Information theory,0
Multi-core processor,Modular programming,0
Entropy,Computer security,0
Dynamic programming,Algorithm,1
Sequence alignment,Image,0
Random walk,C++,0
Authentication,Information security,1
Foundations of mathematics,Mathematics,0
Data type,Programming language,1
Algebra,Arithmetic,1
Web search engine,Algorithm,1
Sentiment analysis,Document classification,1
Complexity class,Randomization,0
Computational learning theory,3D modeling,0
Query optimization,Relational database,1
Data (computing),Semidefinite programming,0
Software design,Algebra,0
Visualization (computer graphics),Computer graphics,1
Ray tracing (graphics),Distributed computing,0
Numerical analysis,Matrix (mathematics),1
Query optimization,Database management system,1
Image analysis,Sentiment analysis,0
Integer,Computer graphics,0
Spanning tree,Graph theory,1
Graphical model,Probability,1
Robotics,Artificial intelligence,1
Operating system,Central processing unit,1
Economics,Parallel computing,0
Parsing,Programming language,1
Sequence alignment,Digital electronics,0
Approximation algorithm,Robotics,0
Virtual memory,Kernel (computing),0
Part-of-speech tagging,Pattern matching,0
NP-complete,Computer science,1
Amortized analysis,"Best, worst and average case",1
Mathematical induction,Thread (computer science),0
Firewall (computing),Data,1
Parsing,Finite-state machine,1
Computational geometry,Assembly language,0
Symbol table,Sequence alignment,0
Microprocessor,Model checking,0
Relational database,Database,1
Analysis of algorithms,Algorithm,1
Computational geometry,Mathematics,1
Haskell (programming language),Formal verification,0
Divide and conquer algorithm,Recursion,1
Queue (data structure),Information theory,0
NP-complete,Computational complexity theory,1
Atomicity (database systems),Virtual reality,0
Scientific visualization,Data structure,0
Support vector machine,Algorithm,1
Input/output,Logic programming,0
Probability theory,Floating point,0
Computer architecture,Computer,1
Random graph,Graphical user interface,0
Recursively enumerable set,Recursion,1
Concurrency control,Time complexity,0
Lexical semantics,Semantics,1
Semantics,Syntax,1
Data structure,Computer science,1
Programming language,Computer programming,1
Graph theory,Debugging,0
Generic programming,Information assurance,0
Inter-process communication,Server (computing),0
Combinatorics,Mathematics,1
Complexity,Mathematics,1
Object-oriented programming,Programming language,1
Numerical analysis,Cryptography,0
Computer graphics,Computer programming,1
Analysis of algorithms,Introduction to Algorithms,1
Stack (data structure),Mutual exclusion,0
"Best, worst and average case",Computer science,1
Digital electronics,Lexical analysis,0
Analysis of algorithms,Probability theory,1
Probability theory,Scope (computer science),0
Digital signature,Algorithm,1
Speech recognition,Markov chain,1
Analysis of algorithms,Computer programming,1
Mathematics,Foundations of mathematics,1
Algorithm,Integer,1
Correlation and dependence,Cloud computing,0
Polynomial,Integer,1
Transaction processing,Concurrency control,1
Peer-to-peer,Lock (computer science),0
Randomized algorithm,Randomization,1
Bioinformatics,Computer programming,1
Knowledge representation and reasoning,Telecommunications network,0
Virtual memory,Computing,1
Prediction,Reinforcement learning,0
Arithmetic,Model checking,0
Automated theorem proving,Mathematical proof,1
Robot,Artificial intelligence,1
Recursion (computer science),Algorithm,1
Compiler,Asymptotic analysis,0
Python (programming language),Computer,1
Parallel computing,Central processing unit,1
Transaction processing,Database management system,1
Data type,Computer science,1
Memory hierarchy,Computer architecture,1
Computational geometry,Analysis of algorithms,1
Lisp (programming language),Multiplication,0
Bayesian,Abstraction (computer science),0
Logic,Computability,0
Programming style,PSPACE,0
PSPACE,Data,0
Query optimization,Index (database),1
"Best, worst and average case",Robot,0
B-tree,Computer science,1
Newton's method,Telecommunications network,0
PageRank,Application software,0
Round-off error,Sufficient statistic,0
Turing machine,Poisson distribution,0
Packet switching,Wavelet,0
Pipeline (computing),High-level programming language,0
Prediction,Probability,1
Model of computation,Computation,1
Mathematical model,Data type,0
Data analysis,Polynomial,0
Congestion control,Computer network,1
Congestion control,Pushdown automata,0
Virtual memory,String searching algorithm,0
Human-computer interaction,Interface (computing),1
Integer,Support vector machine,0
Computer animation,Mathematics,1
Suffix tree,Exponential family,0
Processor register,Python (programming language),0
Cluster analysis,Linear programming,0
Graph (mathematics),Discrete mathematics,1
Parallel computing,Shared memory,1
Number theory,Computability,0
System programming,Operating system,1
Game theory,Mathematical optimization,1
Cryptography,Mathematics,1
Parallel algorithm,Parallel computing,1
Computer programming,Data structure,1
Web browser,Computer,1
Artificial intelligence,Numerical analysis,1
Unsupervised learning,Machine learning,1
Computer graphics,Computer science,1
Formal grammar,String (computer science),1
Randomized algorithm,Model of computation,0
World Wide Web,Data analysis,0
Least squares,Distributed algorithms,0
Transaction processing,Coding theory,0
Data mining,Martingale (probability theory),0
Markov chain,Probability theory,1
Predicate logic,Information security,0
Instruction set,Computer,1
Computational geometry,Algorithm design,1
Monad (functional programming),Functional programming,1
Cache coherence,Cryptographic hash function,0
Automata theory,Computational learning theory,0
Object-oriented programming,Computer programming,1
Web server,Computer,1
Regular language,Stochastic process,0
Java (programming language),Compiler,1
Cryptography,Mathematical proof,1
User interface design,Matrix (mathematics),0
Programmer,Quantum mechanics,0
Haskell (programming language),Computer programming,1
Graphical model,Random variable,1
Data,Mathematical proof,0
Cryptographic hash function,Encryption,1
Martingale (probability theory),Probability theory,1
Analysis of algorithms,Mathematical induction,1
Finite difference,Polynomial,1
Image analysis,Conditional probability,0
Relational database,Relational model,1
Relational algebra,Differential equation,0
Computer security,Social network,0
Computational problem,Finite element method,0
Suffix tree,Partial differential equation,0
Statistical inference,Mutual exclusion,0
Computational science,Turing machine,0
Round-off error,String searching algorithm,0
Inter-process communication,Data,1
Geometry,Communications protocol,0
Computational problem,Computer science,1
Embedded system,Operating system,1
Computational complexity theory,Polynomial,1
Dynamic memory allocation,Parsing,0
B-tree,Large deviations theory,0
Approximation algorithm,Introduction to Algorithms,1
Combinatorics,Finite set,1
Communication,Stack (data structure),0
Cryptographic hash function,Cryptography,1
Expert system,Artificial intelligence,1
SQL,Computer programming,1
Computer,Digital electronics,1
Internet,Computer network,1
Recursively enumerable set,Finite set,1
Imperative programming,Memory management,0
Relational database,Relational model,1
Parsing,String (computer science),1
Data structure,Cache coherence,0
Peer-to-peer,Interface (computing),0
Wireless sensor network,Calculus,0
Shared memory,Stochastic,0
Graphical model,Data,1
Object-oriented programming,Software development,0
Message Passing Interface,Inter-process communication,1
Computer science,Logic,1
Mathematical proof,Security,0
Machine translation,Dynamic memory allocation,0
PSPACE,Turing machine,1
Integer,Cluster analysis,0
CPU cache,Cryptographic hash function,0
Very long instruction word,Computer architecture,1
Ray tracing (graphics),Computational geometry,1
Complexity class,Computational complexity theory,1
Stack (data structure),String searching algorithm,0
Software design,Automated theorem proving,0
Combinatorics,Algebra,1
Garbage collection (computer science),Computer science,1
Denotational semantics,Hash table,0
3D modeling,Computer vision,0
Computer network,Computer science,1
Statistical inference,Random variable,1
Web browser,Approximation,0
Operating system,Iterative method,0
Automatic programming,Computer science,1
Visualization (computer graphics),Mathematics,1
Calculus,Expected value,0
Software development,Software engineering,1
Lock (computer science),Shared memory,0
Image analysis,Computer science,1
Java (programming language),Integer,0
Number theory,Pattern recognition,0
Garbage collection (computer science),Input/output,0
Natural language processing,Graph theory,1
Cryptography,Number theory,1
Recursion (computer science),Computer programming,1
Abstraction (computer science),Computer programming,1
Computer vision,Computer programming,1
Data mining,Robot,0
Inter-process communication,Theoretical computer science,0
Formal language,Automatic programming,0
Array data structure,Fourier analysis,0
Mathematical optimization,Arithmetic,1
C++,Floating point,1
First-order logic,Big data,0
Vector processor,Parallel computing,1
Lexical analysis,Decision theory,0
Robotics,Analysis of algorithms,1
NP (complexity),Computational complexity theory,1
Communication,Polynomial,0
Human-computer interaction,Recursion (computer science),0
Superscalar,Computer architecture,1
Database,Data,1
Neural network,Machine learning,1
Formal methods,Information theory,0
File system,Operating system,1
Syntax,Prolog,0
Randomized algorithm,Random variable,1
Scheduling (computing),Computing,1
Neural network,Algorithm,1
Numerical analysis,Mathematics,1
Computer programming,Sufficient statistic,0
Machine learning,Artificial intelligence,1
List of undecidable problems,Computability,1
Machine learning,Generic programming,0
Game theory,Control flow,0
Recursion,Logic,1
Object (computer science),Computer vision,0
Modular programming,Scope (computer science),1
Peer-to-peer,Rendering (computer graphics),0
Deadlock,Part-of-speech tagging,0
Web search engine,Least squares,0
Computer network,Digital signature,0
Software development,Computer programming,1
Propositional calculus,Logic,1
Internet,Routing,1
Interaction design,Computer graphics,0
Polymorphism (computer science),Concurrency control,0
Personal computer,String searching algorithm,0
Haskell (programming language),Traffic analysis,0
Cryptographic hash function,Relational algebra,0
Robotics,Computer programming,1
Coding theory,Computer science,1
Database,Data structure,1
Stochastic process,Robotics,0
MapReduce,Parallel computing,1
Inter-process communication,Operating system,1
Database design,Relational database,1
Hidden Markov model,Coding theory,0
Stochastic process,Interface (computing),0
Relational algebra,Multi-core processor,0
Abstract data type,Digital signature,0
Inference,Programming style,0
Software engineering,Computer programming,1
Wavelet,Signal processing,1
Mathematical optimization,Algorithm,1
Cloud computing,Ordinary differential equation,0
Deadlock,Operating system,1
Finite-state machine,Graphical model,0
Quantum computer,Unsupervised learning,0
Recursion (computer science),Model of computation,0
Computational problem,Finite element method,0
Natural language processing,Algorithm design,1
Concurrency control,Linear programming,0
Program analysis,Computer architecture,0
PageRank,Prediction,0
Programming language,Computability,1
System programming,Parsing,0
Data mining,Database,1
Computational chemistry,Mathematical optimization,0
Regular language,Sufficient statistic,0
Autonomous robot,Robot,1
Wireless sensor network,Coding theory,0
NP (complexity),Turing machine,1
Computer simulation,Ray tracing (graphics),0
Recursion (computer science),Python (programming language),0
Rendering (computer graphics),Automated theorem proving,0
3D computer graphics,Image processing,1
Virtual reality,Interactivity,1
Programming paradigm,Program optimization,0
Memory management,Operating system,1
Spanning tree,Mathematics,1
Routing,Probability,0
Random graph,Combinatorics,1
Control flow,Recursion (computer science),0
Pattern matching,Kalman filter,0
Graphical model,Machine learning,1
Computational complexity theory,Theoretical computer science,1
Exponential family,Probability theory,1
Bayesian network,Random variable,1
Parametric polymorphism,Data type,1
HTML,Stack (data structure),0
Dynamic memory allocation,Operating system,1
Concurrency (computer science),Operating system,1
Reinforcement learning,Procedural programming,0
Computer animation,Image,1
Parametric polymorphism,Programming language,1
Game theory,Computer programming,0
Signal processing,Human-computer interaction,0
World Wide Web,Data (computing),0
Computer science,Discrete mathematics,1
Complexity class,Algorithm,1
Automata theory,Scalability,0
Document classification,Machine learning,1
Parallel algorithm,Algorithm,1
Information theory,Random variable,1
Index (database),Relational database,1
Robotics,Graph coloring,0
Automated theorem proving,List of undecidable problems,0
Routing,Computer,1
Programming style,Computer programming,1
Relational algebra,Recommender system,0
Software development,Object-oriented programming,1
Microprocessor,Software framework,0
Communications protocol,Cryptography,0
String searching algorithm,Regular expression,1
Quantum cryptography,Peer-to-peer,0
Numerical analysis,Floating point,1
Microcode,Fixed point (mathematics),0
Malware,Computer network,1
Newton's method,Numerical analysis,1
Lexical analysis,Regular expression,1
Large deviations theory,Random variable,1
Object-oriented programming,Data type,1
Undecidable problem,Computational complexity theory,1
Ray tracing (graphics),Rendering (computer graphics),1
Statistical inference,User interface,0
PageRank,Analysis of algorithms,0
Markov process,Recommender system,0
C (programming language),Computing,1
Application programming interface,Programming language,1
Software engineering,Sequence alignment,0
Memory hierarchy,Theoretical computer science,0
Rendering (computer graphics),Computer graphics,1
Algorithm,Computation,1
Robotics,Kinematics,1
Neural network,Model of computation,0
Newton's method,Mathematical optimization,1
Martingale (probability theory),Random variable,1
Malware,Computer security,1
Algorithm,Combinatorics,1
World Wide Web,Computer,1
JavaScript,Digital signature,0
Randomness,Cluster analysis,0
Automated theorem proving,Program analysis,0
Routing,OSI model,1
Garbage collection (computer science),Transaction processing,0
Distributed computing,Cache coherence,0
Approximation algorithm,Computer graphics,0
Bioinformatics,Algorithm,1
Approximation algorithm,Polymorphism (computer science),0
Ordinary differential equation,Numerical analysis,1
Imperative programming,Higher-order function,1
Integral,Decision theory,0
NP-complete,Algorithm,1
Finite-state machine,Computer science,1
Wavelet,Cache coherence,0
Turing machine,Computer science,1
Fixed point (mathematics),Automated theorem proving,0
Graphics,Variable (computer science),0
Natural language processing,Natural language,1
Traffic analysis,Polymorphism (computer science),0
Signal processing,Computational learning theory,0
Nonlinear system,GPU,0
Arithmetic logic unit,Combinational logic,1
Pushdown automata,Automata theory,1
Cryptography,Probability theory,1
Computer simulation,Computer science,1
Software engineering,Computer science,1
Graph (mathematics),Sufficient statistic,0
Model of computation,Computational complexity theory,1
Embedded system,Asymptotic analysis,0
Mutual exclusion,Atomicity (database systems),0
Social network,Matrix (mathematics),0
Relational algebra,Generic programming,0
Arithmetic,Prolog,0
Software engineering,Spanning tree,0
Peer-to-peer,Computer network,1
Data mining,Arithmetic,0
Combinational logic,Complexity class,0
Divide and conquer algorithm,Nonlinear system,0
Linear system,User interface,0
Generic programming,Uncertainty,0
Very long instruction word,Economics,0
Inequality (mathematics),Partial differential equation,0
Bayesian,Conditional probability,1
Information theory,Probability theory,1
Relational model,Object (computer science),1
Martingale (probability theory),Expected value,1
Shared memory,Inheritance (object-oriented programming),0
Operating system,Computing,1
Control flow,Internet Protocol Suite,0
Functional programming,Recursion (computer science),1
Artificial intelligence,Computer programming,1
Computer programming,Arithmetic,1
Computer network,Communications protocol,1
Debugging,Computer programming,1
Software testing,Software development,1
Database management system,Relational algebra,1
Linear programming,Computer,0
Random graph,Mathematics,1
Run time (program lifecycle phase),Computer science,1
Program optimization,Natural language processing,0
Motion capture,Computer graphics,1
Theoretical computer science,Discrete mathematics,1
Virtual memory,Model checking,0
Python (programming language),Object-oriented programming,1
Computational complexity theory,Integer,1
Interactivity,Data mining,0
Model of computation,Concurrency control,0
Robot,Computation,1
Decision theory,Machine learning,0
Random walk,Index (database),0
Distributed algorithms,Software testing,0
Processor register,Congestion control,0
Compiler,Parsing,1
Speech recognition,Computer science,1
Analysis of algorithms,Computational complexity theory,1
Server (computing),Halting problem,0
Profiling (computer programming),Computer programming,1
Robot,Python (programming language),0
Mathematical model,Integer,1
Graph theory,HTML,0
Computer vision,Information assurance,0
B-tree,Application programming interface,0
Machine learning,Algorithm,1
Superscalar,Mathematics,0
Control flow,Scope (computer science),1
Bayesian,Probability,1
Suffix tree,String searching algorithm,1
Decision theory,Computer network,0
Time complexity,Computational complexity theory,1
Monad (functional programming),Randomization,0
Question answering,Fast Fourier transform,0
Gradient descent,Algorithm,1
Graphical user interface,Least squares,0
Machine learning,Statistics,1
Java (programming language),Data structure,1
Graph coloring,Graph theory,1
Poisson distribution,Random variable,1
Human-computer interaction,Interactivity,1
Lexical analysis,Programming language,1
Randomized algorithm,Algorithm,1
Volume rendering,Data (computing),0
Input/output,Higher-order function,0
Monad (functional programming),Input/output,1
Scope (computer science),Programming language,1
Parsing,Context-free language,1
Turing machine,Mathematics,1
Parsing,Lexical analysis,1
Software testing,Control flow,1
Operating system,Regular language,0
Complexity class,Decision theory,0
Speech recognition,Machine learning,1
Database,Software design,0
Quantum mechanics,Continuous function,1
Dynamic programming,Algorithm design,1
Hidden Markov model,Markov chain,1
OSI model,Computer network,1
Suffix tree,Graphics,0
Data structure,Data (computing),1
Debugging,Regular language,0
Software engineering,Data structure,1
Computer architecture,Multiplication,0
Inheritance (object-oriented programming),Object (computer science),1
Ray tracing (graphics),Interaction design,0
Graphical model,Statistical inference,1
Big data,Computer science,1
Computer animation,Rendering (computer graphics),1
Random variable,Hidden line removal,0
Scalability,Prediction,0
Software engineering,Computational complexity theory,1
Markov process,Context-free grammar,0
Semantics,Finite set,0
Modular arithmetic,Database transaction,0
hypothesis testing,Probability,1
Computer programming,Computational complexity theory,1
Bayesian,Data,1
Statistics,Randomness,1
Parallel computing,Graph coloring,0
Python (programming language),Computer programming,1
Cryptography,Predicate logic,0
Data structure,Data type,1
Newton's method,Structured programming,0
High-level programming language,Computer science,1
Object-oriented programming,High-level programming language,1
Shared memory,Memory management,0
Image,Software engineering,0
Entropy,Probability,1
Interpolation,Numerical analysis,1
Congestion control,Least squares,0
Algebra,Communication,0
Randomized algorithm,Conditional probability,1
Computer graphics,Personal computer,1
Graph coloring,Virtual memory,0
Application software,Web search engine,0
Software testing,Programming language,1
Computer graphics,Central processing unit,0
Markov process,Complexity class,0
Database management system,Symbol table,0
Computer graphics,Distributed algorithms,0
Geometry,Matrix (mathematics),1
Automated theorem proving,Communication,0
Software design,Computer programming,1
NP-complete,Least squares,0
Recurrence relation,Graphics,0
Syntax,Natural language,1
Stack (data structure),Embedded system,0
Time complexity,Application programming interface,0
Semantics,Interpolation,0
Hidden Markov model,Database system,0
Computing,Computation,1
Recursively enumerable set,Feature extraction,0
Semantics,Iterative method,0
Cluster analysis,Interactivity,0
Bayesian network,Conditional probability,1
Input/output,Computer,1
Continuous function,Combinational logic,0
Data warehouse,Data structure,1
Database,Data (computing),1
Approximation algorithm,Mathematical optimization,1
Algorithm,Semantics,0
Stochastic process,Probability theory,1
Deadlock,Computer multitasking,1
Parsing,Complexity,0
Symbol table,Computer science,1
Computer vision,Processor register,0
Prediction,Game theory,0
Lexical analysis,Probability,0
Inequality (mathematics),C (programming language),0
Halting problem,Fixed point (mathematics),0
Human-computer interaction,Internet Protocol Suite,0
Algorithm,Logic,1
Markov chain,Conditional probability,1
Formal methods,Computer programming,1
Correlation and dependence,Data,1
Geometric modeling,Algorithm,1
Communications protocol,Algorithm,1
CPU cache,Computer architecture,1
Turing machine,Automata theory,1
Compiler,Sufficient statistic,0
Interactivity,Suffix tree,0
Formal language,Discrete mathematics,1
PageRank,B-tree,0
Object-oriented programming,System programming,0
Turing machine,Database,0
C++,Computer programming,1
Integral,Mathematics,1
Semidefinite programming,Linear programming,1
3D modeling,Programming language,0
Database design,Database,1
Computer graphics,Graphics,1
Matrix (mathematics),Mathematics,1
Formal verification,Autonomous robot,0
Time complexity,Turing machine,1
Debugging,Web browser,0
Calculus of variations,Bioinformatics,0
Interaction design,Reinforcement learning,0
Assembly language,C (programming language),0
Boundary value problem,Ordinary differential equation,1
Computational complexity theory,Algorithm,1
Parsing,Estimation theory,0
Software development,Data structure,1
Monte Carlo method,Algorithm,1
Compiler,Regular expression,1
Cache coherence,Parallel computing,1
Statistics,Computer software,0
Graph theory,Discrete mathematics,1
Theory of computation,Data mining,0
Lazy evaluation,Logic,0
Computer security,Instruction set,0
Digital signature,Virtual reality,0
Graph (mathematics),Perl,0
SQL,Social network,0
Image processing,Statistical inference,0
Geometric modeling,Neural network,0
Hidden line removal,Context-free language,0
Shared memory,Pattern recognition,0
Sentiment analysis,Machine learning,1
Assembly language,Programming language,1
Foundations of mathematics,Part-of-speech tagging,0
Prolog,Logic programming,1
Polynomial,Amortized analysis,0
Abstraction (computer science),Computer science,1
Cache coherence,Hidden Markov model,0
Multi-core processor,Thread (computer science),1
Correlation and dependence,Expected value,1
Query optimization,Design pattern (computer science),0
Symbol table,Compiler,1
Ordinary differential equation,Computer security,0
Algorithm,Computer science,1
Random walk,User interface,0
Ray tracing (graphics),Computer graphics,1
Symmetric multiprocessing,Concurrency control,0
Superscalar,Multi-core processor,1
Computer network,Data,1
Boundary value problem,Data type,0
Volume rendering,Rendering (computer graphics),1
HTML,Computer,1
Programming paradigm,Calculus,0
Newton's method,Approximation,1
Computer simulation,Kernel (computing),0
Question answering,Recurrence relation,0
Social network,Memory hierarchy,0
Artificial intelligence,Graph theory,1
Computer vision,Algorithm design,1
Context-free grammar,Software framework,0
Wireless sensor network,Communication,1
Dynamic programming,Introduction to Algorithms,1
JavaScript,World Wide Web,1
Randomization,Concurrent computing,0
MATLAB,Object-oriented programming,0
Regular language,Computability,1
Spanning tree,Signal processing,0
Computational problem,Undecidable problem,0
Peer-to-peer,Computational science,0
Authentication,Stochastic,0
Probability,Automated theorem proving,0
Tensor,Garbage collection (computer science),0
Semidefinite programming,Approximation algorithm,1
Hidden Markov model,Probability,1
Partial differential equation,Virtual memory,0
Exponential family,Random variable,1
Motion planning,Automated theorem proving,0
NP-complete,Automata theory,0
Approximation,Continuous function,0
Artificial intelligence,Logic,1
Object (computer science),Computer science,1
Parallel algorithm,Hidden Markov model,0
Run time (program lifecycle phase),Matrix (mathematics),0
Fixed point (mathematics),Exponential family,0
Packet switching,Symmetric multiprocessing,0
Computer animation,Computer graphics,1
Randomized algorithm,Introduction to Algorithms,1
Fixed point (mathematics),Mathematics,1
SQL,Round-off error,0
Amortized analysis,hypothesis testing,0
Statistics,Mathematics,1
Lexical analysis,Regular language,1
Hidden line removal,Algorithm,1
Linear system,Matrix (mathematics),1
