A,B,result
Software_engineering,Digital_electronics,1
Application_programming_interface,Computational_science,1
C++,Object-oriented_programming,1
Lexical_analysis,Regular_expression,1
Calculus_of_variations,Mathematics,1
Graph_coloring,Algorithm,1
Java_(programming_language),Regular_expression,1
Feature_extraction,Logic,1
Dynamic_programming,Polynomial,1
Pushdown_automaton,String_(computer_science),1
Data_mining,Operating_system,1
Relational_database,Computing,1
Artificial_intelligence,Mathematics,1
Computational_chemistry,Mathematics,1
Time_complexity,Discrete_mathematics,1
Automated_planning_and_scheduling,Computational_science,1
Scope_(computer_science),Algorithm,1
Algorithm,Mathematical_proof,1
Program_optimization,Foundations_of_mathematics,1
Distributed_algorithms,Discrete_mathematics,1
ML_(programming_language),Computer_programming,1
Fast_Fourier_transform,Computability,1
Cryptanalysis,Problem_solving,1
Semantics,Natural_language,1
Index_(database),Computer,1
Inheritance_(object-oriented_programming),Data_structure,1
Database,Logic,1
Neural_network,Combinatorics,1
Lisp_(programming_language),Logic_programming,1
Computational_geometry,Algorithm,1
Query_optimization,Operating_system,1
ML_(programming_language),Recursion_(computer_science),1
Hidden_line_removal,Abstraction_(computer_science),1
Java_(programming_language),Computational_complexity_theory,1
Integral,Mathematics,1
Visualization_(computer_graphics),Geometry,1
Visualization_(computer_graphics),Computer,1
Neural_network,Computation,1
Parallel_algorithm,Computing,1
P_versus_NP_problem,Discrete_mathematics,1
JavaScript,Arithmetic,1
Operating_system,Arithmetic,1
Analysis_of_algorithms,Introduction_to_Algorithms,1
Feature_extraction,Combinatorics,1
Computational_geometry,Graphics,1
Approximation_algorithm,Introduction_to_Algorithms,1
Functional_programming,Computability,1
Computational_chemistry,Computational_complexity_theory,1
Question_answering,Programming_language,1
Operating_system,Computer_science,1
Computer_programming,Polynomial,1
Computer_simulation,Logic,1
Data_mining,Theoretical_computer_science,1
Neural_network,Computer_programming,1
Logic,Foundations_of_mathematics,1
Functional_programming,Number_theory,1
Fast_Fourier_transform,Foundations_of_mathematics,1
Parallel_algorithm,Computation,1
Interactivity,Logic,1
Computer_simulation,Computer,1
Formal_verification,Logic,1
Variable_(computer_science),Logic,1
Computer_programming,Computation,1
Lexical_analysis,Computer_programming,1
Data_mining,Data,1
Poisson_distribution,Probability_theory,1
Motion_planning,Computer_science,1
Sentiment_analysis,Statistics,1
Machine_translation,Numerical_analysis,1
Natural_language_processing,Programming_language,1
Reinforcement_learning,Logic,1
Computer_network,Communications_protocol,1
Computer_science,Arithmetic,1
Program_optimization,Mathematical_induction,1
User_interface_design,Digital_electronics,1
Traffic_analysis,Mathematics,1
Operating_system,Computer,1
Assembly_language,Computing,1
Complexity,Iterative_method,1
Computer_graphics,Abstraction_(computer_science),1
Natural_language_processing,Foundations_of_mathematics,1
Analysis_of_algorithms,Computability,1
Numerical_analysis,Computing,1
Computer_programming,Computing,1
Monte_Carlo_method,Expected_value,1
Modular_arithmetic,Mathematical_proof,1
Software_engineering,Computational_problem,1
Concurrency_(computer_science),Central_processing_unit,1
Parallel_algorithm,Computer,1
Embedded_system,Computer,1
Partial_differential_equation,Algorithm,1
Scope_(computer_science),Programming_language,1
Computational_chemistry,Theoretical_computer_science,1
3D_computer_graphics,Computability,1
Hidden_Markov_model,Algorithm,1
Semidefinite_programming,Algorithm,1
Computational_problem,Computer_science,1
Mathematical_optimization,Computing,1
Functional_programming,Computational_complexity_theory,1
Computational_learning_theory,Uncertainty,1
Automated_theorem_proving,Foundations_of_mathematics,1
Complexity_class,Discrete_mathematics,1
Finite-state_machine,Theory_of_computation,1
Java_(programming_language),Compiler,1
Computational_geometry,Discrete_mathematics,1
Computer_network,Number_theory,1
Logic_programming,Computational_science,1
SQL,Logic,1
Compiler_optimization,Programming_language,1
Queue_(data_structure),Array_data_structure,1
Pushdown_automaton,Computer,1
JavaScript,Computer_science,1
Computer_vision,Introduction_to_Algorithms,1
Shortest_path_problem,Computational_complexity_theory,1
Knowledge_representation_and_reasoning,Computer,1
Theoretical_computer_science,Mathematical_proof,1
Exponential_family,Algebra,1
Garbage_collection_(computer_science),Computer,1
Distributed_computing,Computability,1
Computer_programming,Discrete_mathematics,1
3D_modeling,Computation,1
Python_(programming_language),High-level_programming_language,1
Index_(database),Computational_complexity_theory,1
Algebra,Foundations_of_mathematics,1
Application_programming_interface,Computer_programming,1
Theory_of_computation,Foundations_of_mathematics,1
Computer_network,Computer_science,1
Concurrency_control,Foundations_of_mathematics,1
Bioinformatics,Mathematical_induction,1
Operating_system,Computational_complexity_theory,1
Sentiment_analysis,Probability,1
Python_(programming_language),Data,1
Automated_planning_and_scheduling,Computer_programming,1
Monte_Carlo_method,Statistical_inference,1
Object-oriented_programming,Arithmetic,1
Quantum_computer,Algorithm_design,1
Motion_capture,Graphics,1
Recursion_(computer_science),Iterative_method,1
Database_management_system,Graph_theory,1
Computer_security,Security,1
Statistical_inference,Probability,1
Robotics,Mechanical_engineering,1
Distributed_computing,Computer,1
Artificial_intelligence,Logic,1
Profiling_(computer_programming),Theoretical_computer_science,1
Distributed_computing,Discrete_mathematics,1
Genetic_algorithm,Computer,1
Speech_recognition,Mathematics,1
Software_engineering,Foundations_of_mathematics,1
Software_development,High-level_programming_language,1
Transaction_processing,Computing,1
Fixed_point_(mathematics),Foundations_of_mathematics,1
Robotics,Computational_science,1
Abstract_data_type,Computer,1
Calculus,Foundations_of_mathematics,1
Scientific_visualization,Computer,1
Lexical_analysis,Discrete_mathematics,1
Distributed_computing,Computer_science,1
Neural_network,Graph_theory,1
Graph_theory,Discrete_mathematics,1
Robotics,Analysis_of_algorithms,1
Computer_architecture,Computer_science,1
Poisson_distribution,Expected_value,1
Parallel_computing,Foundations_of_mathematics,1
SQL,Computability,1
Model_checking,Abstraction_(computer_science),1
Web_search_engine,Mathematical_induction,1
Graphics_processing_unit,Computer_science,1
NP-complete,Theoretical_computer_science,1
Finite-state_machine,Logic,1
Artificial_intelligence,Arithmetic,1
Randomness,Mathematics,1
Debugging,Computing,1
Random_walk,Probability_theory,1
Natural_language_processing,Computer,1
Scripting_language,Computer,1
Quantum_computer,Computer_science,1
Game_theory,Algorithm,1
Divide_and_conquer_algorithm,Recursion,1
Compiler,Automata_theory,1
Numerical_analysis,Foundations_of_mathematics,1
B-tree,Foundations_of_mathematics,1
JavaScript,Computational_science,1
Newton's_method,Eigenvalues_and_eigenvectors,1
Speech_recognition,Number_theory,1
Statistical_inference,Random_variable,1
Robot,Logic,1
Software_engineering,Iterative_method,1
Linear_programming,Computer_science,1
Packet_switching,Computer,1
Scripting_language,Arithmetic,1
Lisp_(programming_language),Recursion,1
SQL,Computer_science,1
Scientific_visualization,Personal_computer,1
Neural_network,Expected_value,1
Natural_language_processing,Computer_science,1
Relational_database,Computer_science,1
Programming_language,Data_structure,1
Object_(computer_science),Computer_science,1
Iterative_method,Polynomial,1
B-tree,Data_type,1
Recursion_(computer_science),Integer,1
Divide_and_conquer_algorithm,Mathematical_induction,1
Perl,Regular_expression,1
Context-free_grammar,Logic,1
Parsing,Discrete_mathematics,1
Programming_style,Computing,1
Lexical_analysis,Theory_of_computation,1
Recursion,Mathematical_induction,1
Machine_translation,Combinatorics,1
Database_management_system,Computer,1
Memory_management,Computer,1
Formal_language,Computer_science,1
Vector_processor,Central_processing_unit,1
Machine_learning,Artificial_intelligence,1
Graphical_user_interface,Computer,1
Feature_extraction,Integer,1
Malware,Computer_security,1
Interpolation,Algorithm,1
Linear_programming,Mathematics,1
Parallel_computing,Mathematics,1
Imperative_programming,Computer_programming,1
Divide_and_conquer_algorithm,Algorithm,1
Game_theory,Linear_algebra,1
Cryptography,Combinatorics,1
Computer_graphics,Computational_complexity_theory,1
Relational_database,Data,1
Digital_signature,Combinatorics,1
Knowledge_representation_and_reasoning,Data_structure,1
Python_(programming_language),Data_structure,1
Robotics,Computer,1
Rendering_(computer_graphics),Graphics,1
Entropy,Uncertainty,1
Randomized_algorithm,Integer,1
Computational_chemistry,Number_theory,1
Communications_protocol,Algorithm,1
Expert_system,Computer_science,1
Abstraction_(computer_science),Logic,1
Recommender_system,Computer,1
Public-key_cryptography,Iterative_method,1
Quantum_computer,Number_theory,1
Scientific_visualization,Image,1
Haskell_(programming_language),Computability,1
Concurrency_control,Probability_theory,1
MapReduce,Computer_science,1
JavaScript,Algorithm,1
Gradient_descent,Computation,1
Input/output,Digital_electronics,1
Random_walk,Computational_science,1
Computational_complexity_theory,Mathematics,1
Prolog,Programming_language,1
Computer_network,Data,1
Recurrence_relation,Iterative_method,1
NP-complete,Computation,1
Concurrent_computing,Computer,1
Computer_software,Input/output,1
SQL,Arithmetic,1
Parsing,Computational_science,1
Lisp_(programming_language),Scope_(computer_science),1
Transaction_processing,Object_(computer_science),1
OSI_model,Graph_(mathematics),1
Computer_security,Computer,1
Ray_tracing_(graphics),Geometry,1
Java_(programming_language),Computing,1
Cryptanalysis,Abstraction_(computer_science),1
Numerical_analysis,Discrete_mathematics,1
Hash_table,Computer_science,1
Social_network,Computational_science,1
Economics,Random_variable,1
Interpolation,Matrix_(mathematics),1
C++,Abstract_data_type,1
Natural_language_processing,Reason,1
CPU_cache,Central_processing_unit,1
Monad_(functional_programming),Recursion,1
Formal_language,String_(computer_science),1
Symbol_table,Discrete_mathematics,1
Computer_vision,Asymptotic_analysis,1
NP_(complexity),Computation,1
Computer_animation,Image,1
Lisp_(programming_language),Generic_programming,1
Java_(programming_language),Data,1
Query_optimization,Database,1
Superscalar,Parallel_computing,1
Cryptography,Algorithm_design,1
Fast_Fourier_transform,Integer,1
Rendering_(computer_graphics),Computer,1
Recursion_(computer_science),Computer,1
Undecidable_problem,Algorithm,1
Recurrence_relation,Mathematical_induction,1
Recursion,Abstraction_(computer_science),1
Arithmetic_logic_unit,Digital_electronics,1
Data_mining,Automata_theory,1
Distributed_algorithms,Polynomial,1
Newton's_method,Numerical_analysis,1
Graphical_user_interface,Discrete_mathematics,1
Turing_machine,Automata_theory,1
Recursively_enumerable_set,Polynomial,1
Graph_theory,Computational_science,1
Scientific_visualization,Algorithm,1
NP-complete,Iterative_method,1
C_(programming_language),Automata_theory,1
Hidden_Markov_model,Probability_theory,1
SQL,Number_theory,1
Regular_language,Computability,1
Neural_network,Mathematics,1
Cryptography,Algebra,1
Multiplication,Mathematics,1
Cryptography,Logic,1
Public-key_cryptography,Logic,1
Control_flow,Computer_science,1
Amortized_analysis,Mathematics,1
Robot,Artificial_intelligence,1
Discrete_mathematics,Algebra,1
Finite_difference,Numerical_analysis,1
Profiling_(computer_programming),Computer,1
Public-key_cryptography,Discrete_mathematics,1
Run_time_(program_lifecycle_phase),Mathematics,1
Reinforcement_learning,Computer_programming,1
Compiler,Parsing,1
JavaScript,World_Wide_Web,1
Machine_learning,Data,1
Theory_of_computation,Graph_theory,1
Computational_chemistry,Computational_science,1
Graph_(mathematics),Mathematics,1
Unsupervised_learning,Mathematical_optimization,1
Parallel_algorithm,Theoretical_computer_science,1
Document_classification,Computer_science,1
Machine_learning,Statistical_inference,1
Atomicity_(database_systems),Operating_system,1
Data_mining,Computing,1
Document_classification,Machine_learning,1
Sentiment_analysis,Document_classification,1
Assembly_language,Instruction_set,1
Genetic_algorithm,Computation,1
Neural_network,Computing,1
Recursion,Foundations_of_mathematics,1
Message_passing,Number_theory,1
Object_(computer_science),Number_theory,1
Linear_programming,Discrete_mathematics,1
Traffic_analysis,Modular_arithmetic,1
Computer_graphics,Computer_programming,1
Volume_rendering,Algorithm_design,1
Garbage_collection_(computer_science),Logic,1
Bioinformatics,Asymptotic_analysis,1
Functional_programming,Variable_(computer_science),1
Assembly_language,Programming_language,1
Bioinformatics,Computer_science,1
Compiler,Finite-state_machine,1
Sentiment_analysis,Algorithm,1
Ray_tracing_(graphics),Computational_geometry,1
File_system,Central_processing_unit,1
Software_development,Arithmetic,1
Application_programming_interface,Algorithm,1
Transaction_processing,Operating_system,1
Parallel_algorithm,Combinatorics,1
Database_design,Predicate_logic,1
Relational_database,Predicate_logic,1
C++,Computational_complexity_theory,1
Queue_(data_structure),Data_structure,1
Document_classification,Probability_theory,1
Parallel_algorithm,Logic,1
Martingale_(probability_theory),Mathematics,1
Machine_learning,Computation,1
Linear_algebra,Integer,1
Parsing,Natural_language,1
Neural_network,Pattern_recognition,1
Computer_architecture,Mathematics,1
Natural_language_processing,Machine_learning,1
Pattern_matching,Variable_(computer_science),1
Computer_programming,Computability,1
Abstract_data_type,Discrete_mathematics,1
Graphical_model,Random_variable,1
NP-complete,Combinatorics,1
Software_development,Structured_programming,1
Communications_protocol,Combinatorics,1
Instruction_set,Arithmetic,1
Software_engineering,Data_structure,1
Artificial_intelligence,Computational_problem,1
Pipeline_(computing),Central_processing_unit,1
Computer_programming,Theoretical_computer_science,1
Newton's_method,Floating_point,1
Concurrency_control,Data_structure,1
Partial_differential_equation,Eigenvalues_and_eigenvectors,1
Cryptographic_hash_function,Probability_theory,1
Java_(programming_language),Arithmetic,1
B-tree,Computer,1
Relational_database_management_system,Predicate_logic,1
User_interface,Computational_science,1
User_interface,Algorithm,1
Distributed_algorithms,Iterative_method,1
Parallel_computing,Logic,1
Model_checking,Combinatorics,1
Recurrence_relation,Integer,1
Scope_(computer_science),Logic,1
Complexity_class,Mathematical_induction,1
Geometric_modeling,Computation,1
Array_data_structure,Data_type,1
Computer_programming,Computer_science,1
Denotational_semantics,Programming_language,1
Computational_geometry,Computing,1
Symmetric_multiprocessing,Parallel_computing,1
Atomicity_(database_systems),Database,1
Neural_network,Computer,1
Quantum_computer,Theory_of_computation,1
Amortized_analysis,Data_(computing),1
Numerical_analysis,Abstraction_(computer_science),1
Computer_programming,Logic,1
Software_development,Logic,1
Hash_table,Data_(computing),1
NP_(complexity),Computability,1
Question_answering,Computational_science,1
Firewall_(computing),Computer,1
3D_computer_graphics,Iterative_method,1
NP-complete,Foundations_of_mathematics,1
Quantum_cryptography,Mathematics,1
Parallel_algorithm,Computer_science,1
Big_data,Logic,1
Scope_(computer_science),Computing,1
Poisson_distribution,Mathematics,1
Statistics,Mathematics,1
Computational_complexity_theory,Mathematical_induction,1
Programmer,Computability,1
Hidden_Markov_model,Computational_science,1
"Best,_worst_and_average_case",Graph_theory,1
Logic_programming,Mathematics,1
3D_modeling,Polynomial,1
Time_complexity,Iterative_method,1
String_searching_algorithm,Graph_theory,1
Internet_Protocol_Suite,Arithmetic,1
Imperative_programming,Computer_science,1
Web_search_engine,Computability,1
Formal_language,Data_structure,1
MapReduce,Parallel_computing,1
Symbol_table,Computer_science,1
Recurrence_relation,Combinatorics,1
Functional_programming,Algorithm,1
Packet_switching,Data_(computing),1
Java_(programming_language),Object-oriented_programming,1
Compiler_optimization,Computer_programming,1
Computer_network,Graph_(mathematics),1
Computational_problem,Logic,1
Database_system,Computer_science,1
Database_system,Database,1
Random_walk,Graph_(mathematics),1
Ray_tracing_(graphics),Shading,1
Unsupervised_learning,Probability,1
Lazy_evaluation,Computer_programming,1
Procedural_programming,Discrete_mathematics,1
Logic_programming,Foundations_of_mathematics,1
Artificial_intelligence,Mathematical_induction,1
Garbage_collection_(computer_science),Discrete_mathematics,1
NP-complete,Computability,1
Query_language,Algorithm,1
Volume_rendering,Shading,1
Instruction_set,Computer_science,1
Scripting_language,Computing,1
Cryptography,Iterative_method,1
Graphical_model,Statistics,1
Fourier_analysis,Mathematics,1
Relational_database,Arithmetic,1
Scheduling_(computing),Computing,1
Java_(programming_language),Data_type,1
Bioinformatics,Integer,1
System_programming,Data_structure,1
Graphical_model,Markov_chain,1
Symmetric_multiprocessing,Concurrency_(computer_science),1
Monte_Carlo_method,Iterative_method,1
Artificial_intelligence,Computation,1
NP_(complexity),Computer,1
Time_complexity,Computability,1
Program_optimization,Combinatorics,1
C++,Computer_programming,1
Debugging,Computer_programming,1
Prediction,Mathematics,1
Neural_network,Algorithm_design,1
Support_vector_machine,Iterative_method,1
Analysis_of_algorithms,Combinatorics,1
Machine_learning,Data_structure,1
Automated_planning_and_scheduling,Computer_science,1
Question_answering,Algorithm,1
Support_vector_machine,Polynomial,1
3D_computer_graphics,Problem_solving,1
Hidden_Markov_model,Statistical_inference,1
P_versus_NP_problem,Abstraction_(computer_science),1
Numerical_analysis,Computability,1
Computer_simulation,Computer_science,1
Transaction_processing,Logic,1
Gradient_descent,Mathematical_induction,1
Martingale_(probability_theory),Markov_chain,1
Computer_vision,Probability,1
Analysis_of_algorithms,Computer,1
Knowledge_representation_and_reasoning,Data_type,1
Index_(database),Algorithm_design,1
Functional_programming,Generic_programming,1
Routing,OSI_model,1
Java_(programming_language),Programming_language,1
Visualization_(computer_graphics),Algorithm,1
Computer_programming,Complexity,1
Abstract_data_type,Number_theory,1
Autonomous_robot,Motion_planning,1
Profiling_(computer_programming),Polynomial,1
Profiling_(computer_programming),Arithmetic,1
Correlation_and_dependence,Data,1
Probability,Mathematics,1
Randomized_algorithm,Theoretical_computer_science,1
Application_programming_interface,Computer,1
Formal_methods,Arithmetic,1
Question_answering,Computer_science,1
Array_data_structure,Data_structure,1
Distributed_algorithms,Foundations_of_mathematics,1
Approximation_algorithm,Discrete_mathematics,1
C_(programming_language),Data_structure,1
Sentiment_analysis,Computer,1
Relational_database_management_system,Computer_programming,1
Finite-state_machine,Automata_theory,1
Prolog,Data_structure,1
Communications_protocol,Computing,1
Relational_model,Database,1
Cryptanalysis,Information_security,1
Lexical_analysis,Data_structure,1
Computer_graphics,Data_structure,1
Robot,Computational_complexity_theory,1
Transaction_processing,Database_transaction,1
Question_answering,Graph_theory,1
Query_language,Computing,1
Sentiment_analysis,Natural_language,1
Graphical_model,Machine_learning,1
Object-oriented_programming,Computability,1
Speech_recognition,Discrete_mathematics,1
Markov_process,Conditional_probability,1
Theoretical_computer_science,Computer,1
Input/output,Arithmetic,1
Concurrency_control,Mathematics,1
Quantum_cryptography,Number_theory,1
Concurrency_control,Computer_science,1
Concurrency_control,Discrete_mathematics,1
Machine_translation,Computer_programming,1
Reinforcement_learning,Numerical_analysis,1
Newton's_method,Arithmetic,1
Malware,Graph_(mathematics),1
Computational_chemistry,Problem_solving,1
Assembly_language,Computer_science,1
Support_vector_machine,Algorithm,1
Recursion,Polynomial,1
Database_design,Operating_system,1
Index_(database),Relational_model,1
Pattern_recognition,Number_theory,1
Computer_animation,Rendering_(computer_graphics),1
Knowledge_representation_and_reasoning,Mathematics,1
Support_vector_machine,Problem_solving,1
Parsing,Data_type,1
Halting_problem,Computation,1
Dynamic_memory_allocation,Input/output,1
Routing,Data,1
Query_language,Data_structure,1
Polymorphism_(computer_science),Abstract_data_type,1
Communications_protocol,Logic,1
Geometry,Mathematics,1
Computer_animation,Geometry,1
Scientific_visualization,Computer_science,1
Geometric_modeling,Mathematics,1
SQL,Programming_language,1
Application_programming_interface,Computational_complexity_theory,1
Recommender_system,Graph_theory,1
Scope_(computer_science),Computer_science,1
String_searching_algorithm,Computer_science,1
Autonomous_robot,Computation,1
Pattern_matching,String_(computer_science),1
Cloud_computing,Graph_(mathematics),1
Distributed_computing,Mathematics,1
Computer_vision,Computational_complexity_theory,1
Discrete_mathematics,Arithmetic,1
Distributed_algorithms,Computation,1
Coding_theory,Theoretical_computer_science,1
Relational_database_management_system,Relational_algebra,1
Document_classification,Discrete_mathematics,1
Coding_theory,Computer_science,1
Time_complexity,Computer,1
Ray_tracing_(graphics),Mathematics,1
OSI_model,Data,1
Decision_theory,Random_variable,1
Probability_theory,Foundations_of_mathematics,1
Linked_list,Foundations_of_mathematics,1
Computational_geometry,Problem_solving,1
Linear_programming,Linear_algebra,1
Python_(programming_language),Algorithm,1
Computer_network,Communication,1
Type_system,Computability,1
Formal_grammar,Computer_programming,1
Rendering_(computer_graphics),Computer_science,1
Lexical_analysis,Automata_theory,1
Virtual_memory,Memory_hierarchy,1
Mathematical_optimization,Mathematical_model,1
Computer_security,Number_theory,1
Partial_differential_equation,Differential_equation,1
Neural_network,Statistics,1
Sentiment_analysis,Machine_learning,1
Programming_paradigm,Computer,1
Inheritance_(object-oriented_programming),Variable_(computer_science),1
Ray_tracing_(graphics),Data,1
Scalability,Java_(programming_language),1
Compiler,Data_structure,1
Model_checking,Computer_science,1
Reinforcement_learning,Machine_learning,1
Ordinary_differential_equation,Algorithm,1
Data_warehouse,Data_structure,1
Poisson_distribution,Algebra,1
Recommender_system,Algorithm,1
Neural_network,Discrete_mathematics,1
P_versus_NP_problem,Computability,1
Algorithm_design,Computational_science,1
Turing_machine,Foundations_of_mathematics,1
Computer_animation,Computational_science,1
System_call,Central_processing_unit,1
Sentiment_analysis,Semantics,1
Mathematical_optimization,Integer,1
P_versus_NP_problem,Computer,1
Inheritance_(object-oriented_programming),Object-oriented_programming,1
Quantum_cryptography,Computational_complexity_theory,1
Memory_management,Computing,1
Geometric_modeling,Computational_geometry,1
Boundary_value_problem,Differential_equation,1
String_searching_algorithm,Integer,1
Computer_graphics,Discrete_mathematics,1
Propositional_calculus,Foundations_of_mathematics,1
Undecidable_problem,Computational_complexity_theory,1
Variable_(computer_science),Arithmetic,1
Lisp_(programming_language),Mathematics,1
Ray_tracing_(graphics),Computational_science,1
Virtual_memory,Central_processing_unit,1
Robotics,Markov_chain,1
Algorithm_design,Iterative_method,1
Computational_chemistry,Computer,1
Context-free_grammar,Number_theory,1
Query_language,Computer_programming,1
Arithmetic_logic_unit,Combinational_logic,1
Message_passing,Graph_theory,1
Python_(programming_language),Object_(computer_science),1
Artificial_intelligence,Digital_electronics,1
Numerical_analysis,Algorithm,1
Formal_methods,Computing,1
Genetic_algorithm,Iterative_method,1
Autonomous_robot,Mechanical_engineering,1
Concurrency_(computer_science),Operating_system,1
Kernel_(computing),Operating_system,1
Debugging,Algorithm,1
Traffic_analysis,Cryptography,1
Unsupervised_learning,Statistical_inference,1
Compiler,Graph_theory,1
Routing,Digital_electronics,1
Probability_theory,Mathematics,1
Lazy_evaluation,Computer_science,1
Data_mining,Polynomial,1
Randomized_algorithm,Computer_science,1
Computer_graphics,Geometry,1
SQL,Computational_science,1
C++,Data,1
Turing_machine,Computation,1
Game_theory,Probability_theory,1
Computer_architecture,Number_theory,1
Computer_science,Graph_theory,1
Programming_style,Computational_complexity_theory,1
Linked_list,Mathematics,1
JavaScript,Computer,1
Fixed_point_(mathematics),Mathematics,1
Data_mining,Graph_theory,1
String_(computer_science),Computing,1
Machine_learning,Computer,1
Estimation_theory,Mathematics,1
Combinatorics,Algebra,1
Robotics,Kinematics,1
Shortest_path_problem,Discrete_mathematics,1
P_versus_NP_problem,Logic,1
Distributed_computing,Polynomial,1
Python_(programming_language),Structured_programming,1
Automatic_programming,Data_structure,1
Software_testing,Software_design,1
Hash_table,Data_structure,1
Computational_geometry,Image,1
Computer_graphics,Graphics,1
Quantum_cryptography,Information_security,1
Parsing,Foundations_of_mathematics,1
Compiler,Computer_architecture,1
Finite_difference,Boundary_value_problem,1
Robotics,Foundations_of_mathematics,1
Concurrency_control,Computer,1
Sentiment_analysis,Computer_programming,1
Big_data,Computer_science,1
Operating_system,Computer_programming,1
Abstraction_(computer_science),Number_theory,1
Kernel_(computing),Computing,1
Unsupervised_learning,Algorithm_design,1
Theory_of_computation,Computer,1
Automatic_programming,Foundations_of_mathematics,1
Automated_theorem_proving,Mathematical_proof,1
Finite-state_machine,Foundations_of_mathematics,1
Analysis_of_algorithms,Number_theory,1
Combinatorics,Foundations_of_mathematics,1
Undecidable_problem,Mathematical_proof,1
Rendering_(computer_graphics),Computer_programming,1
Recursion_(computer_science),Computer_programming,1
Control_flow,Digital_electronics,1
Multi-core_processor,Time_complexity,1
Query_optimization,Programming_language,1
Motion_capture,Computer,1
Machine_learning,Computer_science,1
Functional_programming,Computational_science,1
Robotics,Programming_language,1
Markov_process,Mathematics,1
PSPACE,Computational_problem,1
Model_of_computation,Integer,1
Geometric_modeling,Computer_graphics,1
Concurrency_control,Algorithm_design,1
MapReduce,Computer_programming,1
C++,Computing,1
Traffic_analysis,Information_security,1
Decision_theory,Polynomial,1
Cryptanalysis,Mathematical_induction,1
Hidden_Markov_model,Mathematics,1
Microcode,Digital_electronics,1
Expert_system,Algorithm,1
Web_browser,Computer,1
Spanning_tree,Foundations_of_mathematics,1
Lisp_(programming_language),Computer_programming,1
Imperative_programming,Computability,1
String_searching_algorithm,Logic,1
Algorithm,Computer_science,1
Large_deviations_theory,Probability_theory,1
Imperative_programming,Logic,1
Assembly_language,Logic,1
Computer_programming,Number_theory,1
Software_development,Computer,1
Analysis_of_algorithms,Computation,1
Parallel_algorithm,Lock_(computer_science),1
Markov_chain,Algebra,1
Round-off_error,Eigenvalues_and_eigenvectors,1
Modular_programming,Variable_(computer_science),1
Database,Discrete_mathematics,1
Database_management_system,Relational_algebra,1
Compiler,Algorithm,1
Message_Passing_Interface,Synchronization,1
Hidden_Markov_model,Logic,1
Polymorphism_(computer_science),Computer_programming,1
Computational_geometry,Combinatorics,1
Operating_system,Algorithm,1
Haskell_(programming_language),Functional_programming,1
Parallel_computing,Computer_architecture,1
Haskell_(programming_language),Computer,1
Least_squares,Approximation,1
